sintomas,especialidad
Indica tener tengo el colon inflamado constante.,Gastroenterología
Indica tener estoy con calentura y cuerpo cortado hace una semana.,Infectología
"Tengo un descenso que huele mal, también refiere tengo una picazón allá abajo.",Ginecología
Indica tener erupción exantemática de inicio súbito.,Pediatría
Crisis convulsiva tónico-clónica con migraña con aura.,Neurología
Tengo prurito ocular y nasal intermitente.,Alergología
Hay presencia de todo lo que come lo vomita hace una semana.,Pediatría
Desde ayer tengo oliguria hace una semana.,Nefrología
Se queja de se está hinchando todo y no respira desde hace 3 días.,Emergencias
Desde ayer tengo proteinuria espumosa desde hace 3 días.,Nefrología
Tengo el nene no para de llorar intermitente.,Pediatría
"Me siento decaído y sin fuerzas, sumado a me duele la barriga un poco.",Medicina General
Siento que paso estornudando todo el día de inicio súbito.,Alergología
Desde ayer tengo todo lo que come lo vomita constante.,Pediatría
Presenta prurito vulvar y dice que tengo una picazón allá abajo.,Ginecología
Siento que edema en miembros inferiores intermitente.,Cardiología
Siento que dolor abdominal inespecífico desde esta mañana.,Medicina General
Tos ferina y además intolerancia a la vía oral.,Pediatría
Acude por presentar tengo un nacido en la encía intermitente.,Odontología
Paciente refiere que tos ferina hace una semana.,Pediatría
Manifiesta se me atranca la comida al pasar desde hace 3 días.,Oncología
Hiperemia conjuntival y además miodesopsias.,Oftalmología
Indica tener me chilla el pecho al respirar desde hace 3 días.,Neumología
Amanecí con los ojos hinchados y además la orina sale con mucha espuma.,Nefrología
Lesiones herpéticas con síndrome febril agudo.,Infectología
Me da insomnio de conciliación que no pasa.,Psiquiatría
Ayúdeme con se tomó un veneno desde esta mañana.,Emergencias
Paciente refiere que intolerancia al frío intermitente.,Endocrinología
El nene no para de llorar y además todo lo que come lo vomita.,Pediatría
Siento que me salió alergia por tocar algo de inicio súbito.,Alergología
Acude por presentar sangrado uterino anormal de inicio súbito.,Ginecología
Se queja de me pica la nariz y los ojos desde hace 3 días.,Alergología
Presenta intoxicación exógena y dice que se tomó un veneno.,Emergencias
Acude por presentar me duele la espalda baja a los lados hace una semana.,Nefrología
Se queja de pérdida de peso caquectizante desde esta mañana.,Oncología
Ayúdeme con ánimo depresivo persistente desde hace 3 días.,Psiquiatría
"Doctor, tengo me duele la muela horrible hace una semana.",Odontología
"Doctor, tengo siento como una pata de elefante en el pecho desde hace 3 días.",Cardiología
Tengo me duelen las coyunturas al despertar de inicio súbito.,Reumatología
Manifiesta dolor en fosa renal desde esta mañana.,Nefrología
Proteinuria espumosa y además oliguria.,Nefrología
"Doctor, tengo aumento de peso injustificado constante.",Endocrinología
Paciente refiere que cólico renoureteral que no pasa.,Urología
"Se me va el aire al subir gradas, sumado a me dio un soponcio y me caí.",Cardiología
Se queja de estoy amarillo como patito que no pasa.,Gastroenterología
Manifiesta me tiemblan las manos desde esta mañana.,Endocrinología
Disfagia progresiva con masa palpable no dolorosa.,Oncología
Tengo mucha sed y orino bastante y siente sudo demasiado sin hacer nada.,Endocrinología
Hay presencia de me punza la espalda al respirar constante.,Neumología
Acude por presentar me duele todo el cuerpo de inicio súbito.,Medicina General
"Edema en miembros inferiores, acompañado de dolor precordial opresivo.",Cardiología
Desde ayer tengo mojo la cama de sudor en la noche desde hace 3 días.,Infectología
Siento que bruxismo que no pasa.,Odontología
"Dolor pleurítico, sumado a hemoptisis.",Neumología
Tengo tos de perro con flema y siente me punza la espalda al respirar.,Neumología
"Estoy tosiendo sangre, acompañado de tengo tos de perro con flema.",Neumología
Paso con frío todo el tiempo con estoy engordando sin comer tanto.,Endocrinología
"Doctor, tengo siento hormigueo en medio cuerpo intermitente.",Neurología
Presenta acné nódulo-quístico y dice que se me está cayendo el pelo por parches.,Dermatología
Presento masa palpable no dolorosa constante.,Oncología
"Doctor, tengo edema en miembros inferiores de inicio súbito.",Cardiología
Acude por presentar no puedo pegar el ojo en toda la noche de inicio súbito.,Psiquiatría
Siento que dolor en fosa renal desde esta mañana.,Nefrología
Me hinca el corazón con tengo la presión por las nubes.,Cardiología
"Astenia y adinamia, acompañado de cefalea leve.",Medicina General
Indica tener otalgia derecha constante.,Otorrinolaringología
Me da deformidad articular desde esta mañana.,Reumatología
Me duele todo el cuerpo y siente me siento decaído y sin fuerzas.,Medicina General
Manifiesta intoxicación exógena desde esta mañana.,Emergencias
Tengo edema en miembros inferiores constante.,Cardiología
Tengo se me hinchó la boca y los ojos intermitente.,Alergología
Indica tener fiebre de origen desconocido desde esta mañana.,Infectología
Hay presencia de escucho voces que nadie más oye desde esta mañana.,Psiquiatría
Siento que me duelen todas las uniones constante.,Reumatología
"Doctor, tengo casi no estoy orinando nada constante.",Nefrología
Siento que no puedo mover la rodilla ni un poquito constante.,Traumatología
Ayúdeme con me sale sangre de la nariz que no pasa.,Otorrinolaringología
Manifiesta deformidad articular desde hace 3 días.,Reumatología
Ayúdeme con hemorragia digestiva oculta desde hace 3 días.,Oncología
Presento tengo una picazón allá abajo desde esta mañana.,Ginecología
Acude por presentar hipoacusia súbita intermitente.,Otorrinolaringología
"Sangrado uterino anormal, acompañado de leucorrea fétida.",Ginecología
Tengo dermatitis de contacto intermitente.,Alergología
"Doctor, tengo me arde la boca del estómago desde hace 3 días.",Gastroenterología
La presión no me baja con nada y siente casi no estoy orinando nada.,Nefrología
No puedo pegar el ojo en toda la noche y siente tengo ganas de quitarme la vida.,Psiquiatría
Ayúdeme con se me hinchó la boca y los ojos de inicio súbito.,Alergología
Acude por presentar adenopatías generalizadas hace una semana.,Infectología
Presenta dismenorrea incapacitante y dice que tengo un descenso que huele mal.,Ginecología
Indica tener hemorragia digestiva oculta desde hace 3 días.,Oncología
Desde ayer tengo tengo un nacido en la encía desde esta mañana.,Odontología
Tengo dispepsia funcional que no pasa.,Gastroenterología
Síncope vasovagal y además palpitaciones taquicárdicas.,Cardiología
Siento que le dio el ataque y se sacudió hace una semana.,Neurología
Tengo leucorrea fétida intermitente.,Ginecología
Me sangran las encías al cepillarme y siente me duele la muela horrible.,Odontología
Hay presencia de tiene una tos que no se le quita desde esta mañana.,Pediatría
Diaforesis excesiva y siente polidipsia y poliuria.,Endocrinología
Se queja de sudoración nocturna constante.,Infectología
Desde ayer tengo me siento una bola dura que no duele que no pasa.,Oncología
Indica tener sudoración nocturna desde hace 3 días.,Infectología
Me da tengo moquera clara que no pasa.,Medicina General
Manifiesta me duele la muela horrible constante.,Odontología
Indica tener cefalea leve hace una semana.,Medicina General
Me da no puedo mover la rodilla ni un poquito intermitente.,Traumatología
"Hipertensión arterial descontrolada, acompañado de edema en miembros inferiores.",Cardiología
Acude por presentar epistaxis anterior desde hace 3 días.,Otorrinolaringología
Presenta vértigo periférico y dice que le dio el ataque y se sacudió.,Neurología
Dolor abdominal inespecífico y siente dolor musculoesquelético difuso.,Medicina General
Desde ayer tengo tengo morado y soplado después del golpe hace una semana.,Traumatología
"Doctor, tengo cervicalgia post-latigazo hace una semana.",Traumatología
Tengo me vienen unos cólicos que me tumban constante.,Ginecología
Ayúdeme con vértigo posicional desde hace 3 días.,Otorrinolaringología
"Doctor, tengo leucorrea fétida desde hace 3 días.",Ginecología
"Me duele todo el cuerpo, acompañado de tengo moquera clara.",Medicina General
Paciente refiere que hiperemia conjuntival hace una semana.,Oftalmología
Desde ayer tengo parestesias en hemicuerpo que no pasa.,Neurología
Sibilancias espiratorias y siente dolor pleurítico.,Neumología
Acude por presentar me arde para orinar y voy a cada rato que no pasa.,Urología
Presento prurito ocular y nasal desde hace 3 días.,Alergología
Indica tener cambios en hábito intestinal constante.,Oncología
Hay presencia de me salieron ampollas dolorosas que no pasa.,Infectología
Presento dolor poliarticular intermitente.,Reumatología
Siento que insomnio de conciliación constante.,Psiquiatría
Desde ayer tengo bruxismo desde esta mañana.,Odontología
Siento que me duele mucho un testículo que no pasa.,Urología
"Rinorrea hialina, sumado a dolor abdominal inespecífico.",Medicina General
Dolor en fosa renal con proteinuria espumosa.,Nefrología
Presento paso estornudando todo el día constante.,Alergología
Presento casi no estoy orinando nada constante.,Nefrología
Colitis ulcerosa y además epigastralgia urente.,Gastroenterología
Todo lo que come lo vomita con le salieron granitos en todo el cuerpo.,Pediatría
Anafilaxia y siente traumatismo craneoencefálico.,Emergencias
Siento que ictericia marcada intermitente.,Gastroenterología
Presento hematemesis desde esta mañana.,Gastroenterología
Acude por presentar se cortó feo y sale mucha sangre de inicio súbito.,Emergencias
Tengo el cuello tieso por el frenazo y siente me duele la cintura bajito.,Traumatología
"Tengo la presión por las nubes, acompañado de me palpita feo el corazón.",Cardiología
Se queja de estoy aventado desde hace 3 días.,Gastroenterología
Hay presencia de estoy orinando sangre hace una semana.,Urología
Acude por presentar dolor testicular agudo constante.,Urología
Parestesias en hemicuerpo y además crisis convulsiva tónico-clónica.,Neurología
Paciente refiere que intolerancia a la vía oral constante.,Pediatría
Manifiesta me cae mal todo lo que como intermitente.,Gastroenterología
Manifiesta hemoptisis intermitente.,Neumología
Manifiesta me baja la regla muy fuerte y a deshora desde esta mañana.,Ginecología
Paciente refiere que me duele full el oído derecho desde hace 3 días.,Otorrinolaringología
Presento diaforesis excesiva que no pasa.,Endocrinología
"Intolerancia a la vía oral, sumado a pirexia no cuantificada.",Pediatría
Se queja de rechinar los dientes al dormir desde esta mañana.,Odontología
Se me está cayendo el pelo por parches con me salió un lunar raro.,Dermatología
"Acné nódulo-quístico, también refiere dermatitis atópica.",Dermatología
Tengo dolor abdominal inespecífico hace una semana.,Medicina General
"Adenopatías generalizadas, sumado a sudoración nocturna.",Infectología
Presenta síncope vasovagal y dice que me hinca el corazón.,Cardiología
Indica tener el guagua está hirviendo en fiebre intermitente.,Pediatría
"Oliguria, sumado a proteinuria espumosa.",Nefrología
Se queja de escucho voces que nadie más oye desde hace 3 días.,Psiquiatría
Manifiesta me salió un lunar raro desde hace 3 días.,Dermatología
Acude por presentar traumatismo craneoencefálico desde hace 3 días.,Emergencias
Me duele mucho un testículo con tengo problemas de potencia sexual.,Urología
"Se me salió el hueso, también refiere no puedo mover la rodilla ni un poquito.",Traumatología
Paciente refiere que polidipsia y poliuria desde hace 3 días.,Endocrinología
Tengo dolor abdominal inespecífico constante.,Medicina General
Rechinar los dientes al dormir y siente me duele la muela horrible.,Odontología
Siento que pérdida de peso caquectizante intermitente.,Oncología
"Colitis ulcerosa, sumado a distensión abdominal.",Gastroenterología
Tengo sangrado uterino anormal de inicio súbito.,Ginecología
Presento lesiones herpéticas intermitente.,Infectología
"Doctor, tengo parestesias en hemicuerpo desde esta mañana.",Neurología
Artralgias matutinas y siente deformidad articular.,Reumatología
Presento me hinca el corazón constante.,Cardiología
Se queja de dolor en fosa renal intermitente.,Nefrología
Desde ayer tengo dolor pleurítico desde hace 3 días.,Neumología
"Me arde la boca del estómago, también refiere estoy amarillo como patito.",Gastroenterología
Indica tener tengo sarpullido que pica mucho de inicio súbito.,Dermatología
"Rinorrea hialina, sumado a dolor musculoesquelético difuso.",Medicina General
Me da tengo bolas en el cuello y axilas desde esta mañana.,Infectología
Tengo se me atranca la comida al pasar hace una semana.,Oncología
"Doctor, tengo tengo una picazón allá abajo desde hace 3 días.",Ginecología
Tengo tengo sarpullido que pica mucho desde esta mañana.,Dermatología
Se queja de cervicalgia post-latigazo constante.,Traumatología
Ayúdeme con fiebre de origen desconocido constante.,Infectología
Hay presencia de edema en miembros inferiores desde esta mañana.,Cardiología
Desde ayer tengo se cortó feo y sale mucha sangre intermitente.,Emergencias
Presento dolor pleurítico hace una semana.,Neumología
Presento algia lumbar mecánica de inicio súbito.,Traumatología
Presento oliguria desde esta mañana.,Nefrología
Ayúdeme con proteinuria espumosa intermitente.,Nefrología
"Temblor distal fino, sumado a aumento de peso injustificado.",Endocrinología
Hay presencia de se tomó un veneno de inicio súbito.,Emergencias
Ayúdeme con se me va el aire al subir gradas de inicio súbito.,Cardiología
Se queja de tengo la cara llena de granos feos desde hace 3 días.,Dermatología
Manifiesta me salió un lunar raro constante.,Dermatología
"Me arde para orinar y voy a cada rato, acompañado de me duele mucho un testículo.",Urología
Me da leucorrea fétida constante.,Ginecología
Tengo tengo la cara llena de granos feos hace una semana.,Dermatología
Tengo dermatitis atópica hace una semana.,Dermatología
Síncope vasovagal y siente dolor precordial opresivo.,Cardiología
Presenta dermatitis de contacto y dice que me pica la nariz y los ojos.,Alergología
Indica tener dolor pleurítico desde esta mañana.,Neumología
"Epigastralgia urente, sumado a reflujo gastroesofágico.",Gastroenterología
Tengo proteinuria espumosa intermitente.,Nefrología
Se queja de halitosis desde hace 3 días.,Odontología
Ayúdeme con temblor distal fino hace una semana.,Endocrinología
Indica tener me salieron ampollas dolorosas desde hace 3 días.,Infectología
Presento anafilaxia intermitente.,Emergencias
Se queja de halitosis de inicio súbito.,Odontología
"Fractura expuesta, acompañado de algia lumbar mecánica.",Traumatología
"Me duele mucho un testículo, acompañado de estoy orinando sangre.",Urología
Hay presencia de tengo las piernas hinchadas como tamal desde hace 3 días.,Cardiología
Ayúdeme con fenómeno de Raynaud hace una semana.,Reumatología
Indica tener estoy engordando sin comer tanto de inicio súbito.,Endocrinología
Paciente refiere que hemoptisis intermitente.,Neumología
Me da paso estornudando todo el día desde esta mañana.,Alergología
Presento temblor distal fino desde hace 3 días.,Endocrinología
Estoy viendo doble y siente veo mosquitas volando.,Oftalmología
"Doctor, tengo me palpita feo el corazón desde esta mañana.",Cardiología
Me duele la muela horrible con tengo un nacido en la encía.,Odontología
Acude por presentar me duelen las coyunturas al despertar que no pasa.,Reumatología
Hay presencia de me chilla el pecho al respirar que no pasa.,Neumología
"Tengo ganas de quitarme la vida, también refiere no puedo pegar el ojo en toda la noche.",Psiquiatría
Insomnio de conciliación y además ánimo depresivo persistente.,Psiquiatría
Tengo algia lumbar mecánica constante.,Traumatología
"Dolor pleurítico, acompañado de tos productiva con esputo.",Neumología
Acude por presentar se rompió la cabeza en la caída que no pasa.,Emergencias
"Me quedé sordo de golpe, acompañado de me mareo si muevo la cabeza.",Otorrinolaringología
"Me salieron ampollas dolorosas, sumado a estoy con calentura y cuerpo cortado.",Infectología
"Doctor, tengo edema periorbitario hace una semana.",Nefrología
Tengo una picazón allá abajo y además me vienen unos cólicos que me tumban.,Ginecología
Presento dolor precordial opresivo desde esta mañana.,Cardiología
Acude por presentar rigidez articular hace una semana.,Reumatología
Siento que irritabilidad y llanto constante hace una semana.,Pediatría
Hay presencia de no puedo ni tragar del dolor de garganta constante.,Otorrinolaringología
Presento se me hinchó la boca y los ojos hace una semana.,Alergología
Tengo tengo una picazón allá abajo desde hace 3 días.,Ginecología
"Estoy aventado, sumado a estoy vomitando sangre.",Gastroenterología
Acude por presentar se tomó un veneno hace una semana.,Emergencias
Diaforesis excesiva y siente temblor distal fino.,Endocrinología
"Doctor, tengo sudoración nocturna intermitente.",Infectología
"Doctor, tengo disfunción eréctil intermitente.",Urología
Desde ayer tengo hemorragia digestiva oculta intermitente.,Oncología
Siento que amanezco tieso de inicio súbito.,Reumatología
Me sale sangre de la nariz con me quedé sordo de golpe.,Otorrinolaringología
Edema periorbitario con hipertensión resistente.,Nefrología
Paciente refiere que síncope vasovagal hace una semana.,Cardiología
"Estoy vomitando sangre, acompañado de me arde la boca del estómago.",Gastroenterología
Me da proteinuria espumosa desde hace 3 días.,Nefrología
"Temblor distal fino, también refiere intolerancia al frío.",Endocrinología
Manifiesta tengo un nacido en la encía hace una semana.,Odontología
"Estoy amarillo como patito, sumado a estoy vomitando sangre.",Gastroenterología
Siento que rigidez articular de inicio súbito.,Reumatología
Presento dolor abdominal inespecífico constante.,Medicina General
Paciente refiere que me cae mal todo lo que como constante.,Gastroenterología
"Doctor, tengo rinitis alérgica estacional constante.",Alergología
Se queja de edema y equimosis post-traumática intermitente.,Traumatología
Hay presencia de me duelen todas las uniones desde esta mañana.,Reumatología
Me da disminución de la agudeza visual desde esta mañana.,Oftalmología
Disfunción eréctil y además cólico renoureteral.,Urología
Acude por presentar no puedo ni tragar del dolor de garganta intermitente.,Otorrinolaringología
Intolerancia al frío y siente diaforesis excesiva.,Endocrinología
"Estoy engordando sin comer tanto, acompañado de me tiemblan las manos.",Endocrinología
Me duele toda la cabeza como si tuviera una vincha con le dio el ataque y se sacudió.,Neurología
Manifiesta pérdida de peso caquectizante desde esta mañana.,Oncología
Acude por presentar tengo el cuello tieso por el frenazo constante.,Traumatología
Tengo la cara llena de granos feos y además me salió un lunar raro.,Dermatología
"Hipoacusia súbita, también refiere epistaxis anterior.",Otorrinolaringología
Paciente refiere que reacción a medicamentos constante.,Alergología
"Doctor, tengo estoy tosiendo sangre que no pasa.",Neumología
Manifiesta hipoacusia súbita hace una semana.,Otorrinolaringología
Tengo tengo el ojo rojo como tomate hace una semana.,Oftalmología
"Doctor, tengo síndrome febril agudo desde hace 3 días.",Infectología
Presento me siento decaído y sin fuerzas desde esta mañana.,Medicina General
Indica tener pirexia no cuantificada de inicio súbito.,Pediatría
Manifiesta tengo moquera clara desde esta mañana.,Medicina General
Indica tener se me ponen los dedos blancos con el frío hace una semana.,Reumatología
Manifiesta rinitis alérgica estacional intermitente.,Alergología
Colitis ulcerosa y siente distensión abdominal.,Gastroenterología
Ayúdeme con me chilla el pecho al respirar constante.,Neumología
Siento que hipoacusia súbita desde esta mañana.,Otorrinolaringología
Acude por presentar disfunción eréctil constante.,Urología
Desde ayer tengo prurito vulvar desde esta mañana.,Ginecología
Se queja de tos ferina de inicio súbito.,Pediatría
Presento siento hormigueo en medio cuerpo desde esta mañana.,Neurología
Gingivorragia y además absceso periodontal.,Odontología
Me da edema periorbitario de inicio súbito.,Nefrología
Paciente refiere que tengo el colon inflamado de inicio súbito.,Gastroenterología
Siento que me duelen los senos antes de la menstruación que no pasa.,Ginecología
Paciente refiere que me arde la boca del estómago desde hace 3 días.,Gastroenterología
"Edema y equimosis post-traumática, también refiere fractura expuesta.",Traumatología
"Se me regresa la comida agria, sumado a estoy amarillo como patito.",Gastroenterología
Desde ayer tengo fenómeno de Raynaud desde hace 3 días.,Reumatología
"Me quedé sordo de golpe, acompañado de me duele full el oído derecho.",Otorrinolaringología
"Doctor, tengo paso con frío todo el tiempo de inicio súbito.",Endocrinología
Estoy aventado y además estoy vomitando sangre.,Gastroenterología
"Presento no tengo ganas de hacer nada, solo llorar hace una semana.",Psiquiatría
"Pérdida de peso caquectizante, también refiere hemorragia digestiva oculta.",Oncología
Siento que tengo las piernas hinchadas como tamal intermitente.,Cardiología
Presenta sibilancias espiratorias y dice que me punza la espalda al respirar.,Neumología
Hay presencia de le salieron granitos en todo el cuerpo desde hace 3 días.,Pediatría
Paciente refiere que ictericia marcada intermitente.,Gastroenterología
Hay presencia de se me salió el hueso hace una semana.,Traumatología
Me hinca el corazón y siente tengo la presión por las nubes.,Cardiología
Indica tener se me ponen los dedos blancos con el frío de inicio súbito.,Reumatología
Me da aumento de peso injustificado intermitente.,Endocrinología
Siento que aumento de peso injustificado hace una semana.,Endocrinología
"Alopecia areata, sumado a nevus displásico.",Dermatología
Presento tengo sangre en las heces desde hace 3 días.,Oncología
Acude por presentar me salió un lunar raro de inicio súbito.,Dermatología
Hay presencia de reacción a medicamentos desde hace 3 días.,Alergología
Presento escucho voces que nadie más oye de inicio súbito.,Psiquiatría
Paciente refiere que hipoacusia súbita de inicio súbito.,Otorrinolaringología
"Me dio un soponcio y me caí, acompañado de me palpita feo el corazón.",Cardiología
Manifiesta paso con frío todo el tiempo de inicio súbito.,Endocrinología
Siento que epistaxis anterior desde esta mañana.,Otorrinolaringología
"Intoxicación exógena, también refiere traumatismo craneoencefálico.",Emergencias
Hay presencia de tengo sarpullido que pica mucho desde esta mañana.,Dermatología
Ayúdeme con se tomó un veneno que no pasa.,Emergencias
Tengo me mareo si muevo la cabeza constante.,Otorrinolaringología
Acude por presentar vértigo posicional que no pasa.,Otorrinolaringología
Me da me tiemblan las manos constante.,Endocrinología
Desde ayer tengo odinofagia intensa que no pasa.,Otorrinolaringología
Halitosis y siente absceso periodontal.,Odontología
"Doctor, tengo traumatismo craneoencefálico de inicio súbito.",Emergencias
Presento edema y equimosis post-traumática desde hace 3 días.,Traumatología
Indica tener se me están enchuecando los dedos hace una semana.,Reumatología
Acude por presentar amanecí con los ojos hinchados intermitente.,Nefrología
Me da ictericia marcada de inicio súbito.,Gastroenterología
Ayúdeme con tengo moquera clara intermitente.,Medicina General
Me da paso con frío todo el tiempo intermitente.,Endocrinología
Manifiesta se me hinchó la boca y los ojos desde esta mañana.,Alergología
Presento tos ferina intermitente.,Pediatría
Desde ayer tengo me duelen las coyunturas al despertar constante.,Reumatología
Indica tener epigastralgia urente intermitente.,Gastroenterología
Acude por presentar tengo sarpullido que pica mucho desde esta mañana.,Dermatología
Ayúdeme con cefalea tensional holocraneal que no pasa.,Neurología
Veo lucecitas antes de que me duela la cabeza y siente todo me da vueltas y me tumba.,Neurología
"Doctor, tengo paso estornudando todo el día constante.",Alergología
Se queja de dolor pleurítico de inicio súbito.,Neumología
Acude por presentar se cortó feo y sale mucha sangre hace una semana.,Emergencias
"Hemorragia digestiva oculta, también refiere masa palpable no dolorosa.",Oncología
Presento cólico renoureteral desde esta mañana.,Urología
Presento fotofobia desde hace 3 días.,Oftalmología
"Doctor, tengo prurito vulvar desde hace 3 días.",Ginecología
Desde ayer tengo micosis cutánea de inicio súbito.,Dermatología
Acude por presentar otalgia derecha constante.,Otorrinolaringología
Tengo sarpullido que pica mucho y además se me está cayendo el pelo por parches.,Dermatología
Se queja de no puedo mover la rodilla ni un poquito constante.,Traumatología
Presento me estoy secando de lo flaco intermitente.,Oncología
Parestesias en hemicuerpo con cefalea tensional holocraneal.,Neurología
Manifiesta síncope vasovagal desde hace 3 días.,Cardiología
Paciente refiere que me sale sangre de la nariz intermitente.,Otorrinolaringología
Manifiesta dispepsia funcional de inicio súbito.,Gastroenterología
"Se me hinchó la boca y los ojos, sumado a paso estornudando todo el día.",Alergología
"Palpitaciones taquicárdicas, sumado a disnea de esfuerzo.",Cardiología
Disminución de la agudeza visual con fotofobia.,Oftalmología
Desde ayer tengo crisis convulsiva tónico-clónica de inicio súbito.,Neurología
Siento que se me ponen los dedos blancos con el frío desde hace 3 días.,Reumatología
Desde ayer tengo cefalea tensional holocraneal hace una semana.,Neurología
Tengo sarpullido que pica mucho con se me está cayendo el pelo por parches.,Dermatología
"Se está hinchando todo y no respira, acompañado de se rompió la cabeza en la caída.",Emergencias
"Rechinar los dientes al dormir, acompañado de tengo mal aliento.",Odontología
"Me duelen los senos antes de la menstruación, también refiere tengo un descenso que huele mal.",Ginecología
"Quemadura de segundo grado, sumado a traumatismo craneoencefálico.",Emergencias
"Me arde para orinar y voy a cada rato, sumado a tengo problemas de potencia sexual.",Urología
Hay presencia de absceso periodontal desde hace 3 días.,Odontología
Tengo algia lumbar mecánica desde esta mañana.,Traumatología
Paciente refiere que alopecia areata hace una semana.,Dermatología
Siento que fractura expuesta desde hace 3 días.,Traumatología
"Edema y equimosis post-traumática, sumado a fractura expuesta.",Traumatología
Ánimo depresivo persistente y siente insomnio de conciliación.,Psiquiatría
"Me duelen los senos antes de la menstruación, también refiere me vienen unos cólicos que me tumban.",Ginecología
Me da tengo bolas en el cuello y axilas constante.,Infectología
"Palpitaciones taquicárdicas, también refiere angina de pecho estable.",Cardiología
Manifiesta tengo el cuello tieso por el frenazo hace una semana.,Traumatología
Ayúdeme con me estoy secando de lo flaco desde esta mañana.,Oncología
Se queja de me cae mal todo lo que como hace una semana.,Gastroenterología
Todo me da vueltas y me tumba y además siento hormigueo en medio cuerpo.,Neurología
Ayúdeme con me enronché después de tomar la pastilla intermitente.,Alergología
Tengo no puedo mover la rodilla ni un poquito hace una semana.,Traumatología
"Tengo mucha sed y orino bastante, sumado a estoy engordando sin comer tanto.",Endocrinología
Se me va el aire al subir gradas con me palpita feo el corazón.,Cardiología
Presento tengo las piernas hinchadas como tamal que no pasa.,Cardiología
Me hinca el corazón con siento como una pata de elefante en el pecho.,Cardiología
Presento me vienen unos cólicos que me tumban que no pasa.,Ginecología
Presento me sale sangre de la nariz hace una semana.,Otorrinolaringología
Ayúdeme con limitación funcional articular que no pasa.,Traumatología
Se queja de estoy aventado intermitente.,Gastroenterología
Presento crisis convulsiva tónico-clónica intermitente.,Neurología
Acude por presentar ánimo depresivo persistente que no pasa.,Psiquiatría
"Tengo moquera clara, acompañado de me siento decaído y sin fuerzas.",Medicina General
Manifiesta fiebre de origen desconocido constante.,Infectología
"Doctor, tengo bruxismo hace una semana.",Odontología
Hay presencia de no puedo pegar el ojo en toda la noche hace una semana.,Psiquiatría
"Doctor, tengo me pica la nariz y los ojos hace una semana.",Alergología
Fenómeno de raynaud con deformidad articular.,Reumatología
Hay presencia de dismenorrea incapacitante intermitente.,Ginecología
Presento me enronché después de tomar la pastilla hace una semana.,Alergología
Acude por presentar epistaxis anterior constante.,Otorrinolaringología
"Doctor, tengo la luz me molesta muchísimo que no pasa.",Oftalmología
Indica tener me duele toda la cabeza como si tuviera una vincha desde esta mañana.,Neurología
Me da se tomó un veneno intermitente.,Emergencias
"Le salieron granitos en todo el cuerpo, acompañado de el nene no para de llorar.",Pediatría
Ayúdeme con dolor en fosa renal desde esta mañana.,Nefrología
Siento que cólico renoureteral constante.,Urología
Tengo no puedo pegar el ojo en toda la noche desde esta mañana.,Psiquiatría
Ayúdeme con el guagua está hirviendo en fiebre desde esta mañana.,Pediatría
Tengo odontalgia severa hace una semana.,Odontología
"Estoy amarillo como patito, también refiere estoy vomitando sangre.",Gastroenterología
Me da no puedo mover la rodilla ni un poquito constante.,Traumatología
Presento acné nódulo-quístico que no pasa.,Dermatología
Presento la presión no me baja con nada intermitente.,Nefrología
Tengo se cortó feo y sale mucha sangre desde esta mañana.,Emergencias
Indica tener deformidad articular desde hace 3 días.,Reumatología
Otalgia derecha y además epistaxis anterior.,Otorrinolaringología
Me da tengo la presión por las nubes hace una semana.,Cardiología
Tengo me quedé sordo de golpe desde esta mañana.,Otorrinolaringología
Dispepsia funcional y siente reflujo gastroesofágico.,Gastroenterología
"Me ahogo cuando estoy durmiendo, también refiere estoy tosiendo sangre.",Neumología
Paso con frío todo el tiempo y siente sudo demasiado sin hacer nada.,Endocrinología
Siento que me duele la cintura bajito desde esta mañana.,Traumatología
Presenta lesiones herpéticas y dice que me salieron ampollas dolorosas.,Infectología
Rinorrea hialina y siente dolor abdominal inespecífico.,Medicina General
Me sale sangre de la nariz con me duele full el oído derecho.,Otorrinolaringología
Presenta cambios en hábito intestinal y dice que se me atranca la comida al pasar.,Oncología
Me duelen todas las uniones y siente me duelen las coyunturas al despertar.,Reumatología
"Se me va el aire al subir gradas, acompañado de tengo las piernas hinchadas como tamal.",Cardiología
Presento tengo la presión por las nubes que no pasa.,Cardiología
Ayúdeme con fenómeno de Raynaud desde hace 3 días.,Reumatología
Hay presencia de escucho voces que nadie más oye constante.,Psiquiatría
Paciente refiere que hipoacusia súbita que no pasa.,Otorrinolaringología
Me da se me regresa la comida agria hace una semana.,Gastroenterología
Me da adenopatías generalizadas de inicio súbito.,Infectología
Paciente refiere que vértigo periférico constante.,Neurología
Desde ayer tengo limitación funcional articular que no pasa.,Traumatología
Desde ayer tengo se está hinchando todo y no respira constante.,Emergencias
"Sangrado uterino anormal, sumado a mastalgia cíclica.",Ginecología
"Tengo ganas de quitarme la vida, sumado a no puedo pegar el ojo en toda la noche.",Psiquiatría
Me da veo lucecitas antes de que me duela la cabeza de inicio súbito.,Neurología
Siento que polidipsia y poliuria de inicio súbito.,Endocrinología
Desde ayer tengo me punza la espalda al respirar de inicio súbito.,Neumología
Presento tengo un descenso que huele mal desde hace 3 días.,Ginecología
No puedo pegar el ojo en toda la noche y además tengo ganas de quitarme la vida.,Psiquiatría
Vértigo periférico y siente cefalea tensional holocraneal.,Neurología
